Em,IDSessao,Pedido,IP,Pageviews
08/05/2017 12:10:00,2093686002,,"157.55.39.75",0
08/05/2017 12:10:00,2093685996,,"157.55.39.75",0
08/05/2017 12:10:00,2093685992,,"157.55.39.75",0
08/05/2017 12:10:00,2093685991,,"157.55.39.75",0
08/05/2017 12:10:00,2093685985,,"157.55.39.75",0
08/05/2017 12:10:00,2093685977,,"157.55.39.75",0
08/05/2017 12:10:00,2093685967,,"157.55.39.75",0
08/05/2017 12:10:00,2093685956,,"157.55.39.75",0
08/05/2017 12:10:00,2093685954,,"157.55.39.75",0
08/05/2017 12:10:00,2093685948,,"157.55.39.75",0
08/05/2017 12:10:00,2093685942,,"157.55.39.75",0
08/05/2017 12:10:00,2093685938,,"157.55.39.75",0
08/05/2017 12:10:00,2093685925,,"157.55.39.75",0
08/05/2017 12:10:00,2093685920,,"157.55.39.75",0
08/05/2017 12:10:00,2093685873,,"157.55.39.75",0
08/05/2017 12:10:00,2093685861,,"157.55.39.75",0
08/05/2017 12:10:00,2093685858,,"157.55.39.75",0
08/05/2017 12:10:00,2093685851,,"157.55.39.75",0
08/05/2017 12:10:00,2093685842,,"157.55.39.75",0
08/05/2017 12:10:00,2093685838,,"157.55.39.75",0
08/05/2017 12:10:00,2093685835,,"157.55.39.75",0
08/05/2017 12:10:00,2093685833,,"157.55.39.75",0
08/05/2017 12:10:00,2093685832,,"157.55.39.75",0
08/05/2017 12:10:00,2093685790,,"157.55.39.75",0
08/05/2017 12:09:00,2093685788,,"157.55.39.75",0
08/05/2017 12:09:00,2093685786,,"157.55.39.75",0
08/05/2017 12:09:00,2093685778,,"157.55.39.75",0
08/05/2017 12:09:00,2093685776,,"157.55.39.75",0
08/05/2017 12:09:00,2093685769,,"157.55.39.75",0
08/05/2017 12:09:00,2093685684,,"157.55.39.122",0
08/05/2017 12:09:00,2093685679,,"157.55.39.122",0
08/05/2017 12:09:00,2093685671,,"157.55.39.122",0
08/05/2017 12:09:00,2093685665,,"157.55.39.122",0
08/05/2017 12:09:00,2093685662,,"157.55.39.122",0
08/05/2017 12:09:00,2093685656,,"157.55.39.122",0
08/05/2017 12:09:00,2093685651,,"157.55.39.122",0
08/05/2017 12:09:00,2093685648,,"157.55.39.122",0
08/05/2017 12:09:00,2093685644,,"157.55.39.122",0
08/05/2017 12:09:00,2093685632,,"157.55.39.122",0
08/05/2017 12:09:00,2093685628,,"157.55.39.122",0
08/05/2017 12:09:00,2093685627,,"157.55.39.122",0
08/05/2017 12:09:00,2093685626,,"157.55.39.122",0
08/05/2017 12:09:00,2093685622,,"157.55.39.122",0
08/05/2017 12:09:00,2093685619,,"157.55.39.122",0
08/05/2017 12:09:00,2093685613,,"157.55.39.122",0
08/05/2017 12:09:00,2093685604,,"157.55.39.122",0
08/05/2017 12:09:00,2093685483,,"157.55.39.122",0
08/05/2017 12:09:00,2093685479,,"157.55.39.122",0
08/05/2017 12:09:00,2093685475,,"157.55.39.122",0
08/05/2017 12:09:00,2093685464,,"157.55.39.122",0
08/05/2017 12:09:00,2093685461,,"157.55.39.122",0
08/05/2017 12:09:00,2093685457,,"157.55.39.122",0
08/05/2017 12:09:00,2093685450,,"157.55.39.122",0
08/05/2017 12:09:00,2093685440,,"157.55.39.122",0
08/05/2017 12:09:00,2093685435,,"157.55.39.122",0
08/05/2017 12:09:00,2093685404,,"157.55.39.122",0
08/05/2017 12:09:00,2093685400,,"157.55.39.122",0
08/05/2017 12:09:00,2093685397,,"157.55.39.122",0
08/05/2017 12:09:00,2093685395,,"157.55.39.122",0
08/05/2017 12:09:00,2093685390,,"157.55.39.122",0
08/05/2017 12:09:00,2093685383,,"157.55.39.122",0
08/05/2017 12:09:00,2093685373,,"157.55.39.122",0
