ID Cor,Nome,Código
60160,"4130503531828","#006600"
60161,"413050353WINE","#FF00CC"
60162,"413050374N26","#66FFFF"
60163,"413050374N28","#33CC00"
60164,"413050375N01","#000000"
60165,"413050375N03","#FFFFFF"
60166,"413050375N11","#FFFF00"
60167,"420050082BORDO","#FF3399"
60168,"421050081LARANJA","#FF6600"
60169,"421050099UNICA","#FFFFFF"
60170,"4210501097786","#FFFF00"
60171,"42105010984","#000000"
60172,"421050124UNICA","#FFFFFF"
60173,"4210501261","#FFFFFF"
60174,"4210501265302","#FFCC33"
60175,"4210501265303","#FFFFFF"
60176,"421050132UNICA","#FFFFFF"
60177,"421050135UNICA","#FFFFFF"
60178,"42105013611","#000000"
60179,"421050136393","#FFFFFF"
60180,"421050145PRETO","#000000"
60181,"421050145VERDE","#33CC00"
60182,"421050146UNICA","#FFFFFF"
60183,"421050147OFF WHITE","#FFFFFF"
60184,"421050147PRETO","#000000"
60185,"421050150UNICA","#FFFFFF"
60186,"421050155N22","#3300FF"
60187,"4260501802","#FFFFFF"
60188,"5010003N11","#FFFF00"
60189,"5010003N11.1","#FFFF00"
60190,"5010005N00","#FFFFFF"
60191,"5010005N11","#FFFF00"
60192,"5010017N00","#FFFFFF"
60193,"5010017N14","#FF9900"
60194,"5010027N19","#FF33CC"
60195,"5010027N19","#FF33FF"
60196,"5010045N00","#FFFFFF"
60197,"5010045N19","#FF3399"
60198,"5200001N11","#FFFF00"
60199,"5200001N15","#FF0000"
60200,"5200003N00","#FFFFFF"
60201,"5200003N17","#FF33CC"
60202,"5200093N00","#FFFFFF"
60203,"5200093N03","#FFFFFF"
60204,"5200093N22","#3300FF"
60353,"051315320139N15","#FF0000"
60354,"051515320039N01","#000000"
60355,"051515320039N22","#0000FF"
60356,"051515320083N01","#000000"
60357,"061215303019N01","#000000"
60358,"061215303019N90","#FF00CC"
60359,"061215308009N15","#FF0000"
60360,"061215308009N28","#00CC00"
60361,"061215310023N01","#000000"
60362,"061215310023N16","#990033"
60363,"061215310023N28","#33FF00"
60364,"061215312019N01","#000000"
60365,"061215312019N02","#FFFFFF"
60366,"061215312019N22","#0066FF"
